URL,Title,Description,File Path
"/","RosterLab - AI Staff Scheduling Software for Complex Teams","Automate complex staff rosters in minutes with RosterLab's AI scheduling software. Boost fairness, cut admin time, and keep teams fully staffed.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/page.tsx"
"/about","About Us - Meet the Team Behind RosterLab","Learn about us and the people behind RosterLab. Our team is dedicated to building smarter, fairer scheduling solutions that put people first.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/about/page.tsx"
"/blog","RosterLab Blog - AI Rostering & Scheduling Tips","Discover insights on staff rostering, shift scheduling, and workforce planning. Stay ahead with practical tips from RosterLab.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/blog/page.tsx"
"/blog/:slug","[Dynamic - check generateMetadata function]","[Dynamic - check generateMetadata function]","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/blog/[slug]/page.tsx"
"/blog/page/:page","[Dynamic - check generateMetadata function]","[Dynamic - check generateMetadata function]","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/blog/page/[page]/page.tsx"
"/book-a-demo","RosterLab - Book a Demo","Book a live RosterLab demo to see AI rostering cut scheduling time by 90%, boost shift coverage, and keep teams compliant, healthier and happier.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/book-a-demo/page.tsx"
"/careers","Careers - Join our talented team at RosterLab","Join RosterLab's talented team and shape the future of AI staff scheduling—flexible roles, real growth opportunities, and a mission-driven culture await.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/careers/page.tsx"
"/case-studies","RosterLab Case Studies - Real-World Results","Explore our rostering success stories. See how RosterLab's AI cuts scheduling time and lifts staff satisfaction for industries worldwide.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/case-studies/page.tsx"
"/case-studies/:slug","[Dynamic - check generateMetadata function]","[Dynamic - check generateMetadata function]","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/case-studies/[slug]/page.tsx"
"/case-studies/page/:page","[Dynamic - check generateMetadata function]","[Dynamic - check generateMetadata function]","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/case-studies/page/[page]/page.tsx"
"/contact","Contact Us - RosterLab","Contact the team about your staff rostering needs using our contact form or live chat feature. We will aim to get back to you within 24 hours.","/Users/ryangreen/Documents/rosterlab-sanity-cms/app/contact/page.tsx"
